Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Ad Topic Line,Male,City,Country,Timestamp,Clicked on Ad
68.95,36,61833.9,256.09,Cloned 5thgeneration orchestration,0,Tokyo,Japan,27/03/2020 00:53,0
80.23,29,68441.85,193.77,Monitored national standardization,1,Jakarta,Indonesia,04/04/2020 01:39,0
69.47,26,59785.94,236.5,Organic bottom-line service-desk,0,Delhi,India,13/03/2020 20:35,0
74.15,31,54806.18,245.89,Triple-buffered reciprocal time-frame,1,Mumbai,India,10/01/2020 02:31,0
68.37,36,73889.99,225.58,Robust logistical utilization,0,Manila,Philippines,03/06/2020 03:36,0
59.99,24,59761.56,226.74,Sharable client-driven software,1,Shanghai,China,19/05/2020 14:30,0
88.91,31,53852.85,208.36,Enhanced dedicated support,0,Sao Paulo,Brazil,28/01/2020 20:59,0
66,47,24593.33,131.76,Reactive local challenge,1,Seoul,"Korea, South",07/03/2020 01:40,1
74.53,28,68862,221.51,Configurable coherent function,1,Mexico City,Mexico,18/04/2020 09:33,0
69.88,21,55642.32,183.82,Mandatory homogeneous architecture,1,Guangzhou,China,11/07/2020 01:42,0
47.64,51,45632.51,122.02,Centralized neutral neural-net,0,Beijing,China,16/03/2020 20:19,1
83.07,39,62491.01,230.87,Team-oriented grid-enabled Local Area Network,1,Cairo,Egypt,08/05/2020 08:10,0
69.57,48,51636.92,113.12,Centralized content-based focus group,1,New York,United States,03/06/2020 01:14,1
79.52,24,51739.63,214.23,Synergistic fresh-thinking array,0,Kolkata,India,20/04/2020 21:49,0
42.95,31,30976,143.56,Grass-roots coherent extranet,0,Moscow,Russia,24/03/2020 09:31,1
63.45,24,52182.23,140.64,Persistent demand-driven interface,1,Bangkok,Thailand,09/03/2020 03:41,1
55.39,38,23936.86,129.41,Customizable multi-tasking website,0,Buenos Aires,Argentina,30/01/2020 19:20,1
82.03,41,71511.08,187.53,Intuitive dynamic attitude,0,Shenzhen,China,02/05/2020 07:00,0
54.7,34,31087.54,118.39,Grass-roots solution-oriented conglomeration,1,Dhaka,Bangladesh,13/02/2020 07:53,1
74.58,38,23821.72,135.51,Advanced 24/7 productivity,1,Lagos,Nigeria,27/02/2020 04:43,1
77.22,30,64802.33,224.44,Object-based reciprocal knowledgebase,1,Istanbul,Turkey,05/01/2020 07:52,0
84.59,37,60015.57,226.54,Streamlined non-volatile analyzer,1,Osaka,Japan,18/03/2020 13:22,0
41.49,50,32635.7,164.83,Mandatory disintermediate utilization,0,Karachi,Pakistan,20/05/2020 08:49,1
87.29,38,61628.72,209.93,Future-proofed methodical protocol,1,Bangalore,India,23/03/2020 09:43,0
41.39,41,68962.32,167.22,Exclusive neutral parallelism,0,Tehran,Iran,13/06/2020 17:27,1
78.74,27,64828,204.79,Public-key foreground groupware,1,Kinshasa,Congo (Kinshasa),27/05/2020 15:25,0
48.53,27,38067.08,134.14,Ameliorated client-driven forecast,1,Ho Chi Minh City,Vietnam,08/02/2020 10:46,1
51.95,53,58295.82,129.23,Monitored systematic hierarchy,0,Los Angeles,United States,19/07/2020 08:32,1
70.2,34,32708.94,119.2,Open-architected impactful productivity,0,Rio de Janeiro,Brazil,14/04/2020 05:08,1
76.02,22,46179.97,209.82,Business-focused value-added definition,0,Nanyang,China,27/01/2020 12:38,0
67.64,35,51473.28,267.01,Programmable asymmetric data-warehouse,1,Chennai,India,02/07/2020 20:23,0
86.41,30,45593.93,207.48,Digitized static capability,1,Chengdu,China,01/03/2020 22:13,0
59.05,57,25583.29,169.23,Digitized global capability,1,Lahore,Pakistan,15/07/2020 05:05,1
55.6,24,30227.98,212.58,Multi-layered 4thgeneration knowledge user,0,Paris,France,14/01/2020 14:00,1
57.64,58,45580.92,133.81,Synchronized dedicated service-desk,1,London,United Kingdom,15/03/2020 03:12,1
84.37,30,61389.5,201.58,Synchronized systemic hierarchy,0,Linyi,China,12/04/2020 03:26,0
62.26,55,56770.79,125.45,Profound stable product,1,Tianjin,China,07/04/2020 15:18,1
65.82,41,76435.3,221.94,Reactive demand-driven capacity,0,Shijiazhuang,China,09/02/2020 05:28,0
50.43,45,57425.87,119.32,Persevering needs-based open architecture,1,Baoding,China,07/05/2020 17:11,1
38.93,41,27508.41,162.08,Intuitive exuding service-desk,0,Zhoukou,China,11/03/2020 06:49,1
84.98,28,57691.95,202.61,Innovative user-facing extranet,0,Lima,Peru,27/04/2020 09:27,0
64.24,30,59784.18,252.36,Front-line intermediate database,0,Hyderabad,India,16/04/2020 11:53,0
82.52,33,66572.39,198.11,Persevering exuding system engine,1,Bogota,Colombia,08/05/2020 15:38,0
81.38,31,64929.61,212.3,Balanced dynamic application,0,Weifang,China,08/02/2020 00:23,0
80.47,27,57519.64,204.86,Reduced global support,0,Nagoya,Japan,11/02/2020 13:26,0
37.68,51,53575.48,172.83,Organic leadingedge secured line,1,Wuhan,China,17/02/2020 13:16,1
69.62,21,50983.75,202.25,Business-focused encompassing neural-net,1,Heze,China,26/02/2020 22:46,0
85.4,44,67058.72,198.72,Triple-buffered demand-driven alliance,0,Ganzhou,China,08/06/2020 18:54,0
44.33,37,52723.34,123.72,Visionary maximized process improvement,1,Tongshan,China,08/01/2020 09:32,1
48.01,47,54286.1,119.93,Centralized 24/7 installation,0,Chicago,United States,25/04/2020 11:01,1
73.18,21,61526.25,196.71,Organized static focus group,1,Handan,China,04/04/2020 07:07,0
79.94,28,58526.04,225.29,Visionary reciprocal circuit,0,Luanda,Angola,03/05/2020 21:19,0
33.33,44,53350.11,193.58,Pre-emptive value-added workforce,1,Fuyang,China,17/01/2020 09:31,1
50.33,50,62657.53,133.2,Sharable analyzing alliance,1,Kuala Lumpur,Malaysia,02/03/2020 04:57,1
62.31,49,62722.57,119.3,Team-oriented encompassing portal,0,Jining,China,14/02/2020 07:36,1
80.6,31,67479.62,177.55,Sharable bottom-line solution,0,Dongguan,China,07/04/2020 03:56,0
65.19,35,75254.88,150.61,Cross-group regional website,0,Hanoi,Vietnam,17/02/2020 11:42,1
44.98,50,52336.64,129.31,Organized global model,0,Pune,India,10/04/2020 00:13,1
77.63,30,56113.37,239.22,Upgradable asynchronous circuit,0,Chongqing,China,14/02/2020 17:05,0
41.82,43,24852.9,156.36,Phased transitional instruction set,0,Changchun,China,26/05/2020 22:49,1
85.61,26,47708.42,183.43,Customer-focused empowering ability,0,Zhumadian,China,30/04/2020 08:07,0
85.84,35,64654.66,192.93,Front-line heuristic data-warehouse,1,Ningbo,China,15/06/2020 05:30,0
72.08,30,71228.44,169.5,Stand-alone national attitude,0,Onitsha,Nigeria,09/03/2020 14:45,0
86.06,34,61601.05,178.92,Focused upward-trending core,1,Nanjing,China,31/03/2020 20:55,0
45.96,45,66281.46,141.22,Streamlined cohesive conglomeration,0,Hefei,China,03/06/2020 00:55,1
62.42,27,73910.9,198.5,Upgradable optimizing toolset,1,Ahmadabad,India,10/03/2020 23:36,0
63.89,41,51317.33,105.22,Synchronized user-facing core,0,Hong Kong,Hong Kong,08/01/2020 00:17,1
